Latitude,Longtitude,Pressure [hPa],Height [m],Temperature [C],Relative Humidity [%],Wind Direction [deg],Wind Speed [knot]
13.0000,-144.0000,1013.4,0.0,27.1,79.0,75.0,21.0
,,1000.0,117.0,26.1,75.0,76.0,25.0
,,975.0,340.0,23.9,80.0,77.0,27.0
,,950.0,568.0,22.0,86.0,77.0,28.0
,,925.0,799.0,20.2,90.0,79.0,28.0
,,900.0,1036.0,18.6,94.0,81.0,26.0
,,850.0,1526.0,17.9,76.0,88.0,18.0
,,800.0,2044.0,15.9,77.0,89.0,14.0
,,750.0,2591.0,13.1,75.0,89.0,14.0
,,700.0,3169.0,10.0,75.0,95.0,14.0
,,650.0,3782.0,6.5,68.0,100.0,14.0
,,600.0,4435.0,2.2,81.0,108.0,12.0
,,550.0,5134.0,-1.0,74.0,132.0,10.0
,,500.0,5888.0,-5.8,86.0,129.0,14.0
,,450.0,6711.0,-8.4,15.0,88.0,12.0
,,400.0,7612.0,-15.2,22.0,74.0,8.0
,,350.0,8605.0,-23.1,27.0,9.0,8.0
,,300.0,9713.0,-31.8,55.0,315.0,15.0
,,250.0,10977.0,-41.0,60.0,281.0,42.0
,,200.0,12455.0,-52.7,52.0,269.0,46.0
,,150.0,14253.0,-65.8,44.0,273.0,52.0
,,100.0,16631.0,-77.2,55.0,272.0,23.0
13.0000,-143.0000,1013.5,0.0,27.1,78.0,73.0,20.0
,,1000.0,118.0,26.0,74.0,73.0,24.0
,,975.0,341.0,23.9,78.0,74.0,26.0
,,950.0,568.0,21.9,84.0,75.0,27.0
,,925.0,800.0,20.0,88.0,76.0,27.0
,,900.0,1036.0,18.5,90.0,78.0,25.0
,,850.0,1526.0,18.7,60.0,89.0,17.0
,,800.0,2045.0,16.1,70.0,90.0,14.0
,,750.0,2592.0,13.1,74.0,91.0,15.0
,,700.0,3170.0,10.0,74.0,92.0,15.0
,,650.0,3783.0,6.5,72.0,98.0,14.0
,,600.0,4436.0,2.5,82.0,112.0,13.0
,,550.0,5135.0,-1.3,92.0,132.0,11.0
,,500.0,5890.0,-5.8,86.0,121.0,11.0
,,450.0,6713.0,-8.3,13.0,74.0,11.0
,,400.0,7615.0,-15.2,20.0,57.0,8.0
,,350.0,8607.0,-23.2,27.0,360.0,9.0
,,300.0,9716.0,-31.8,47.0,320.0,16.0
,,250.0,10979.0,-41.1,55.0,288.0,41.0
,,200.0,12456.0,-52.7,45.0,278.0,49.0
,,150.0,14254.0,-65.8,44.0,278.0,53.0
,,100.0,16633.0,-77.3,56.0,276.0,23.0
13.0000,-142.0000,1013.7,0.0,26.8,78.0,69.0,19.0
,,1000.0,120.0,25.7,74.0,69.0,23.0
,,975.0,343.0,23.6,79.0,70.0,25.0
,,950.0,569.0,21.6,85.0,71.0,26.0
,,925.0,801.0,19.7,90.0,72.0,26.0
,,900.0,1037.0,18.4,89.0,78.0,25.0
,,850.0,1527.0,18.8,41.0,90.0,19.0
,,800.0,2045.0,16.7,43.0,89.0,16.0
,,750.0,2592.0,13.5,60.0,91.0,17.0
,,700.0,3170.0,10.2,72.0,92.0,16.0
,,650.0,3784.0,6.8,68.0,93.0,14.0
,,600.0,4437.0,2.8,74.0,113.0,12.0
,,550.0,5137.0,-1.1,85.0,128.0,10.0
,,500.0,5892.0,-5.5,80.0,120.0,9.0
,,450.0,6715.0,-8.4,13.0,61.0,9.0
,,400.0,7617.0,-15.3,18.0,45.0,8.0
,,350.0,8609.0,-23.2,24.0,354.0,10.0
,,300.0,9717.0,-31.7,37.0,325.0,19.0
,,250.0,10981.0,-41.1,45.0,295.0,41.0
,,200.0,12458.0,-52.8,43.0,287.0,53.0
,,150.0,14255.0,-65.8,43.0,283.0,56.0
,,100.0,16634.0,-77.6,58.0,279.0,23.0
