Latitude,Longtitude,Pressure [hPa],Height [m],Temperature [C],Relative Humidity [%],Wind Direction [deg],Wind Speed [knot]
37.0000,-101.0000,914.6,879.0,17.7,83.0,194.0,10.0
,,900.0,1017.0,17.4,82.0,197.0,18.0
,,850.0,1506.0,17.6,61.0,215.0,25.0
,,800.0,2021.0,14.1,62.0,206.0,18.0
,,750.0,2563.0,11.2,47.0,196.0,21.0
,,700.0,3135.0,7.5,35.0,193.0,27.0
,,650.0,3740.0,3.2,33.0,186.0,28.0
,,600.0,4384.0,-0.8,18.0,188.0,24.0
,,550.0,5071.0,-5.9,21.0,193.0,19.0
,,500.0,5810.0,-10.9,26.0,209.0,18.0
,,450.0,6612.0,-15.8,24.0,217.0,14.0
,,400.0,7490.0,-21.3,33.0,212.0,8.0
,,350.0,8460.0,-28.7,57.0,193.0,7.0
,,300.0,9542.0,-37.7,96.0,225.0,11.0
,,250.0,10770.0,-48.5,100.0,232.0,23.0
,,200.0,12196.0,-60.7,100.0,238.0,50.0
,,150.0,13958.0,-64.1,63.0,247.0,28.0
,,100.0,16451.0,-62.4,4.0,243.0,18.0
36.0000,-101.0000,916.9,866.0,17.1,84.0,212.0,3.0
,,900.0,1025.0,17.2,80.0,206.0,13.0
,,850.0,1514.0,16.4,72.0,214.0,21.0
,,800.0,2028.0,13.2,65.0,213.0,20.0
,,750.0,2569.0,11.0,40.0,199.0,22.0
,,700.0,3140.0,7.5,31.0,191.0,27.0
,,650.0,3745.0,2.8,34.0,184.0,29.0
,,600.0,4387.0,-1.3,26.0,185.0,26.0
,,550.0,5074.0,-5.5,4.0,187.0,21.0
,,500.0,5814.0,-10.6,12.0,209.0,18.0
,,450.0,6616.0,-15.6,36.0,230.0,18.0
,,400.0,7494.0,-21.4,39.0,229.0,7.0
,,350.0,8465.0,-28.6,58.0,203.0,1.0
,,300.0,9548.0,-37.4,98.0,214.0,7.0
,,250.0,10778.0,-47.9,100.0,230.0,16.0
,,200.0,12208.0,-60.2,100.0,236.0,46.0
,,150.0,13970.0,-64.0,79.0,250.0,31.0
,,100.0,16461.0,-63.0,4.0,239.0,22.0
37.0000,-100.0000,942.3,631.0,18.4,86.0,173.0,6.0
,,925.0,790.0,18.8,81.0,191.0,16.0
,,900.0,1026.0,18.9,75.0,202.0,25.0
,,850.0,1516.0,16.9,66.0,210.0,23.0
,,800.0,2031.0,14.2,51.0,209.0,16.0
,,750.0,2572.0,11.0,36.0,201.0,17.0
,,700.0,3143.0,7.2,26.0,198.0,20.0
,,650.0,3747.0,2.8,26.0,189.0,23.0
,,600.0,4389.0,-1.5,23.0,187.0,24.0
,,550.0,5076.0,-5.5,15.0,202.0,18.0
,,500.0,5816.0,-10.6,18.0,208.0,13.0
,,450.0,6618.0,-16.0,21.0,221.0,11.0
,,400.0,7494.0,-21.7,17.0,222.0,7.0
,,350.0,8464.0,-28.7,26.0,201.0,3.0
,,300.0,9547.0,-37.6,54.0,203.0,8.0
,,250.0,10775.0,-48.1,100.0,247.0,21.0
,,200.0,12204.0,-60.2,100.0,248.0,44.0
,,150.0,13966.0,-65.2,85.0,240.0,27.0
,,100.0,16457.0,-62.8,3.0,244.0,18.0
36.0000,-100.0000,932.0,731.0,17.8,86.0,182.0,5.0
,,925.0,796.0,18.1,82.0,186.0,9.0
,,900.0,1031.0,18.7,74.0,200.0,21.0
,,850.0,1521.0,16.2,73.0,205.0,22.0
,,800.0,2035.0,14.1,50.0,199.0,21.0
,,750.0,2577.0,11.7,24.0,194.0,20.0
,,700.0,3149.0,7.7,22.0,187.0,18.0
,,650.0,3753.0,2.7,28.0,180.0,16.0
,,600.0,4394.0,-2.2,28.0,175.0,17.0
,,550.0,5080.0,-5.8,7.0,195.0,15.0
,,500.0,5820.0,-10.4,3.0,195.0,12.0
,,450.0,6621.0,-16.0,7.0,215.0,9.0
,,400.0,7498.0,-21.7,18.0,246.0,7.0
,,350.0,8467.0,-28.7,36.0,267.0,4.0
,,300.0,9552.0,-37.0,61.0,208.0,3.0
,,250.0,10784.0,-47.4,94.0,249.0,15.0
,,200.0,12217.0,-59.7,100.0,247.0,36.0
,,150.0,13979.0,-65.3,94.0,247.0,24.0
,,100.0,16467.0,-63.6,4.0,240.0,22.0
